Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Less than high school graduate,Margin of Error!!Total:!!Less than high school graduate,Estimate!!Total:!!High school graduate (includes equivalency),Margin of Error!!Total:!!High school graduate (includes equivalency),Estimate!!Total:!!Some college or associate's degree,Margin of Error!!Total:!!Some college or associate's degree,Estimate!!Total:!!Bachelor's degree,Margin of Error!!Total:!!Bachelor's degree,Estimate!!Total:!!Graduate or professional degree,Margin of Error!!Total:!!Graduate or professional degree,Estimate!!Total:!!Male:,Margin of Error!!Total:!!Male:,Estimate!!Total:!!Male:!!Less than high school graduate,Margin of Error!!Total:!!Male:!!Less than high school graduate,Estimate!!Total:!!Male:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency),Estimate!!Total:!!Male:!!Some college or associate's degree,Margin of Error!!Total:!!Male:!!Some college or associate's degree,Estimate!!Total:!!Male:!!Bachelor's degree,Margin of Error!!Total:!!Male:!!Bachelor's degree,Estimate!!Total:!!Male:!!Graduate or professional degree,Margin of Error!!Total:!!Male:!!Graduate or professional degree,Estimate!!Total:!!Female:,Margin of Error!!Total:!!Female:,Estimate!!Total:!!Female:!!Less than high school graduate,Margin of Error!!Total:!!Female:!!Less than high school graduate,Estimate!!Total:!!Female:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency),Estimate!!Total:!!Female:!!Some college or associate's degree,Margin of Error!!Total:!!Female:!!Some college or associate's degree,Estimate!!Total:!!Female:!!Bachelor's degree,Margin of Error!!Total:!!Female:!!Bachelor's degree,Estimate!!Total:!!Female:!!Graduate or professional degree,Margin of Error!!Total:!!Female:!!Graduate or professional degree,
New Jersey,56121,466,28336,1414,37180,659,46071,705,71258,981,94788,1437,64661,761,32987,1773,45153,1477,53945,2758,83684,1672,120215,3123,47351,908,21296,1088,30266,601,39039,1033,61320,974,78633,1754,
New Mexico,39826,894,22117,1668,32058,724,36168,982,49976,3093,69168,3062,44746,1736,28011,2682,36557,1608,42493,2425,57705,6618,86706,8407,35171,970,17375,2011,25787,1790,31225,965,42350,1652,62467,2085,
New York,50570,178,27130,526,35242,327,42154,308,64928,776,82907,972,55023,707,31778,671,40937,331,50718,392,73244,1303,98294,2543,45070,466,21401,679,28528,770,36869,561,58628,1593,75894,1004,
North Carolina,42244,211,26097,608,32075,318,37845,569,55494,844,70335,1316,50035,517,29483,1269,38263,1334,45585,747,70586,1671,93025,1792,36889,374,20536,990,26902,557,31689,415,47054,889,59337,1483,
North Dakota,46025,1024,30064,5178,39631,2254,42412,2089,54510,3605,67774,4158,54184,2594,40365,9671,43193,3974,53700,3157,62394,3236,73549,7879,38285,1828,15826,8060,30565,1544,33269,2305,46617,2554,66043,3629,
Ohio,43794,434,28017,1121,35087,477,40348,311,58453,1197,74866,1072,51261,277,32306,1444,41484,409,48832,1082,70866,989,89365,2157,37056,311,21257,881,27106,474,33738,718,50087,839,66283,1149,
Oklahoma,40163,336,27597,1156,31976,480,37329,593,50771,542,65294,2234,47298,745,32353,1578,39623,1081,46993,1473,61383,1441,79819,3276,33368,747,20913,989,25135,753,31224,675,43639,1244,57261,2484,
Oregon,45562,611,31335,1166,36031,633,40827,557,57419,1714,78702,2177,51475,485,35594,1414,40964,794,47090,1503,68073,3339,92449,4562,39996,766,24746,2635,30535,808,34678,1528,49753,1899,70436,2707,
Pennsylvania,47140,277,28562,1077,35528,384,41521,376,61170,672,78261,1075,53837,590,34793,1421,42012,369,50953,423,72801,1228,93707,1469,40220,322,20638,905,28728,734,35310,489,51648,436,69606,1571,
Rhode Island,50500,856,31280,1418,40297,1865,44680,2792,62069,2814,81413,2888,56158,2959,37129,2877,44581,2439,51944,4211,72706,4833,90719,4469,44428,2247,22070,4519,31427,1513,39238,2462,52084,2723,74523,4416,
South Carolina,40974,281,27014,1003,32587,959,38235,1012,51257,892,63545,1959,48879,1274,30251,1226,39690,1281,47671,2227,65225,2277,79656,2549,35128,560,22401,1963,26805,824,32047,546,41810,795,54057,1994,
South Dakota,42204,669,28754,4078,35069,1669,40249,1308,51375,913,61699,3699,49997,2131,32400,6533,41556,1315,47657,4108,62850,2511,66231,2872,36636,814,25028,4186,27041,2590,33953,1385,45290,1930,55970,2221,
Tennessee,41181,272,27481,1134,32457,527,39041,843,53286,1351,67850,1743,47214,567,32305,1307,37784,947,46095,1001,66812,2166,85359,3546,35998,465,20710,892,26807,487,32763,845,44716,1338,59079,2001,
Texas,43802,499,26881,305,32742,608,40333,273,61341,476,77567,1501,51087,191,31774,365,39761,707,49347,1054,75084,1179,99685,2740,36889,266,19701,460,26501,392,33431,528,52708,849,65669,874,
Utah,46555,570,34424,2179,36870,942,41461,545,56175,1372,81947,2752,58188,1600,40984,1148,43723,2193,52108,1020,71803,1963,100573,3314,35354,699,25625,1643,29803,1642,31687,649,42048,1157,64498,3050,
Vermont,45731,984,29953,3777,38339,2315,41332,1611,49075,2916,67439,3525,49335,2097,33908,5692,41128,1017,46509,3403,54502,4616,76369,3477,42718,1335,15611,5618,33370,2138,36363,3264,44894,2391,63652,2640,
Virginia,51330,254,28780,1887,35070,492,42361,563,65495,1022,92057,1566,60385,551,33697,2047,40948,541,51354,652,81023,1539,113928,2617,43353,866,21299,1101,27750,929,35151,813,54029,1396,75159,1845,
Washington,53232,1004,32285,1007,40493,540,46249,711,72286,1109,96132,2447,63896,838,37118,1367,47647,1504,56121,1213,88331,2457,120598,3058,43885,939,23984,1922,32357,640,37626,981,57649,2711,79695,1957,
West Virginia,39449,987,22882,2325,31479,986,36032,918,50534,2161,64636,2847,46841,1175,27192,2868,39999,1534,46225,2246,60046,4424,74969,5859,31979,821,17361,3678,23990,1867,29705,1369,42164,1555,58646,4657,
Wisconsin,46322,322,30530,1116,36939,361,42701,637,58745,1281,70880,1539,52271,258,35640,2120,42830,1031,51529,473,69907,1574,86034,3386,39723,617,23626,1392,29908,883,35438,552,50671,598,63073,1629,
Wyoming,41898,1177,31988,3766,36645,1827,37208,1900,50596,2918,70910,4119,52076,2038,37278,11969,45130,5340,51633,4272,62619,5030,77439,9781,33034,2152,22946,7596,27346,3972,29286,1872,41748,3385,63564,4796,
Puerto Rico,19658,371,10893,962,15567,377,17438,436,25550,843,36122,1456,19841,559,12194,1047,16384,430,19618,853,30177,2061,46630,6567,19464,476,7500,1295,13519,763,15743,494,23879,869,33169,2262,
