state,mental health,depression,mentally ill,mental illness,unwell,not well,struggle,self harm,suicidal,i hate myself,anymore,help me,cutting,pain,kill me,anxiety,social anxiety,worse,unmotivated,lost,trauma,unwanted,bpd,ptsd,suicide,vulnerable,lonely,sad,miserable,low,hopeless,aching,always,never,down,stressed,helpless,worthless,insecure,stuck,hurting,numb,intrusive,don't know why,crying,nothing matters,empty,overwhelmed,hurt,tired,grippy socks,stressy depressy,suey,kms,kill myself,crippling,unalive,unaliving
AL,0.6671656045238147,-0.7167272586343649,-0.429151070394311,0.08872965881211974,0.4174333145193877,0.5969087773795769,0.8305900313423897,-0.18994181475970962,-0.2960266702152955,-0.009384791155436535,0.33733127367675275,0.5310191381900672,0.5672193798602247,0.20017948209821027,0.4465769850044237,0.41391418852840545,0.5670514426153808,0.5687791985830538,-0.12642904432471558,0.45133686831638536,0.692964709749298,0.17736965509717467,0.7337908390279038,0.24335178788499892,-0.35523281793306555,0.47584734997848915,-0.5071882519265826,-0.1988927041413913,-0.07161407959201489,0.5205962377457807,0.15028873737601647,-0.0990524295387944,0.31193306127235787,-0.2632216861283946,0.3536892281954677,-0.16563940124336282,-0.2535069900645233,-0.4193591196186002,-0.12408640542974847,0.49830045946941204,0.4511120928242767,0.40757246147689796,0.5700762683919826,0.1474472623682112,-0.02482112227164677,0.4234402898921997,0.6282598788495034,0.5683483753269201,0.4873293285867077,0.2817598140453779,0.6176515816953203,-0.3289952953769839,0.7758186247777289,0.07407134978003506,-0.008822155771711018,-0.4330798900604441,0.0,0.0
AK,0.6871221544464887,-0.49473060035698124,-0.28120540367308045,0.08374768412168557,0.220465790465861,0.5448092289393227,0.7124544314871566,-0.24200665416526662,0.10191178575383247,-0.13416047320331978,0.5845474193630128,0.8421513194579254,0.4205368674355274,0.4969131391256588,0.45206667310232157,0.5837107448300669,0.10849292980777302,0.7555180948836447,-0.1422247639423171,0.6743683613484132,0.7840018097634452,0.006941460757531367,0.9157055699013522,0.5222466584985369,-0.22974156605091747,0.3634985224629068,-0.6746937141112079,-0.023854674674800617,-0.3560677643725311,0.7045267574699787,-0.32755632671764395,0.40022889610135787,0.5945925207219286,0.39887225303454704,0.643271713773601,-0.054500593579233744,-0.3391881166901585,-0.1675480658666449,0.3128102227772405,0.8098443414906302,0.7234297675591436,0.7239473067846746,0.6334411940270733,-0.4812520383592779,0.5239037286004318,0.5593685303504533,0.7326691766265805,0.5786089687964313,0.7781577873400564,0.7339987281185316,-0.24706054354928272,0.0,0.4307259977844899,0.15028989763617048,0.31618308157806824,0.5432399488724585,0.0,0.0
AZ,0.8643186657492319,-0.6748505128733531,-0.5386082437862199,0.35239969953062594,0.7119481472602952,0.805581587407312,0.618740425565928,0.05623077225515203,-0.25638387138907687,-0.19524875454478352,0.5689929241608018,0.7950153821160374,0.6902575667596125,0.5113127236025424,0.6166986459438493,0.5369757645380904,0.5338010526311836,0.809595271120191,0.750454270497094,0.5840976795673788,0.8526628572465916,0.012121946420444476,0.9341302948407993,0.4526640702664923,-0.38493225149587496,0.6353024991693429,-0.6152585668257502,-0.06479564579422845,-0.06504315283604857,0.766176226142026,-0.2371932794970595,0.35683470801065337,0.7094337291975752,0.3104663718933927,0.6396886690204865,-0.11065618427954904,-0.5425406718553099,-0.2292916220728099,0.21760152360328325,0.6822038970632519,0.7901963109221568,0.6770030616758135,0.8120035365718105,0.33326481718406503,0.396546797407718,-0.25759080679573165,0.7682838894255539,0.7814853962303093,0.8373717869573637,0.6982895724530277,0.0,0.0,-0.2315808609815761,0.23957687051784884,0.010022122234358296,-0.049693796440958136,0.4384457163197022,0.18374400703354488
AR,0.6126084341914347,-0.805706348003392,0.15811526077039773,0.0727212459461511,-0.2193851770726479,0.6274182900875414,0.5895543387926205,0.04870222911685869,-0.34788583438629317,-0.04228491525633516,0.2873842171732127,0.6034084524407645,0.6246776676709874,0.30992493315196695,0.3826121033100118,0.40555405535105454,0.2485509944717949,0.5267275592044004,-0.20289915614392376,0.6593263935333743,0.635377972685602,0.12847919960050716,0.7269159698073825,0.3385947296131901,-0.3279601226768964,0.2292952051860168,-0.45426183502763534,-0.421332555295569,0.1353319120342558,0.6471975573294999,0.02250498318965977,0.0925652617400659,0.4680334327820438,0.17478504072672452,0.4700053665832328,-0.17312941880220314,-0.1158378577646761,0.017822008879135876,-0.07910713526737485,0.7592821860137958,0.5210590279598836,0.41053524128749774,0.5769334792161394,0.13640456010548066,0.11803044438270192,0.5844491349602309,0.6049527089087637,0.3050282021740475,0.5723607499528378,0.2655370955346826,0.30747334565526613,-0.2169370973613257,0.291548352960063,0.045883605437734856,-0.039646282393544605,-0.2390570334547228,-0.17844825750689688,0.0
CA,0.7967223723211396,-0.36398081239964325,-0.25522610987469185,0.3429441371679793,0.6324130367805068,0.794743981484773,0.3263726065618081,0.28616991690844873,-0.26308915241787173,-0.5124041504553611,0.5669346939224398,0.7560169221789508,0.6453949777671025,0.6147229207904193,0.5917998975068935,0.607054763107015,0.7481228453185418,0.8074354020355148,0.7748222102936154,0.5784072783130101,0.8268022037791123,0.016694439147338033,0.9267583692146606,0.553256967308028,-0.36431555110817365,0.5606845758490904,-0.6337171624756469,-0.03562579742899221,-0.01814751161033759,0.848940613603986,-0.27507780907098256,0.29766936725316917,0.6991736861698146,0.46228707640661176,0.6064658988533473,-0.03260342018679751,-0.5313218435905585,-0.0686030758189912,0.1906683912080931,0.7156111229357509,0.7753769070164838,0.7127182468210582,0.8525900531618084,0.340850073017954,0.47946432582639176,-0.20342570753859698,0.5902735433705307,0.7393354218146354,0.8226195716602287,0.7208376195151125,0.8267376314854973,-0.3768956467677019,-0.2390401700165835,0.12770502288532898,0.2732067985517034,-0.05719630493394621,0.8133904005316157,0.49493852046735776
CO,0.7406567645735149,-0.6427645506620203,-0.4411226728821899,0.11539476933606727,0.6685360810452778,0.716781648119221,0.5732961252839543,0.031206849762330187,-0.15072354470373578,-0.49857449001900966,0.5607532243800769,0.7626647390848476,0.6132697445301387,0.5977731590072591,0.6225282469671196,0.5284002046647378,0.2882955651101002,0.7831945319368911,0.6573347273685956,0.6294276555521706,0.7386060661967522,-0.1752667781737202,0.8984789274460716,0.3110458751530523,-0.344250778656619,0.4850627385698243,-0.6841250060416101,-0.11389853986639055,0.03882382044298512,0.757122172895945,-0.4150260486006371,0.026804287924285547,0.6264145451784019,0.08223338312675796,0.6197274616780476,-0.13079442922829748,-0.4740359266640485,-0.5470396053428613,0.2527514280481067,0.7006756681656744,0.7461124787149673,0.693178082376405,0.846798560359094,0.28247525275930385,0.4037754612957424,0.4205215658571755,0.663508071592623,0.6067634463093543,0.8029478559271479,0.7226966757234262,0.22035041009580764,0.4787459595996903,0.07006443941629129,0.02074699817334883,0.04917243299216068,0.3252504573191847,0.5734713217011801,0.792522322020819
CT,0.6182296525763011,-0.8791136444065938,-0.5372791804158369,-0.276805800842363,0.2260420937414382,0.543226357642869,-0.25481332149012476,0.09500933671761974,-0.41956565508829463,0.0036760765273460686,0.31381965647308613,0.5563276968867721,0.548723612461814,0.2936538028190571,0.3457276337454096,0.3520900745006977,-0.0007162729578156431,0.5504116530687105,-0.05061485560384213,0.4116911375492333,0.6243772763441752,-0.2875122672944395,0.7457595871186969,-0.08965030304561665,-0.400458161155267,0.34250043730493507,-0.485490297978126,-0.49924839890306705,-0.14626302103436123,0.625379553050312,-0.030420578761984826,0.257118372085998,0.3443567819371342,0.03700093644333068,0.3518504721151139,-0.2503461971287768,-0.2797612321211267,0.007634899799921455,-0.0255378562036645,0.4378860185709163,0.5210596674020103,0.4764112234706407,0.5126036379610526,0.11991887157990287,0.006055334090640522,0.22395794087013393,0.4556808762223726,0.6626381808743386,0.5980557309864101,0.41074231302609726,0.0,0.0,0.2531048714714191,-0.5600228619909333,-0.20513182261119126,-0.40003818012147424,-0.273263492563474,0.280658509759135
DE,0.7984199720919095,-0.8154360129195883,-0.26245470412245,0.11064724752700923,-0.4070005041870374,0.6179177748642518,0.3131615982044639,0.16947196879853232,0.14256904426604608,0.1386747510683444,0.39129414883136465,0.705361255388938,0.5315415650679604,0.30768593969255514,0.35888963368014853,0.4989680903212668,0.7139280723417241,0.7304798851671271,-0.2002785809760841,0.5422827682834869,0.7384800180676607,0.10871451196540859,0.8908223629536295,0.3879829414423555,-0.48044143969619096,0.5274209295072358,-0.4404322675100167,-0.2384027695002947,0.7127060493295708,0.7695900713268538,0.3290430076322051,0.22640319476133425,0.46522517438973254,0.1472682798626186,0.5244513655196694,-0.10286033010355995,-0.2002785809760841,0.10989892844018799,0.24531579050063393,0.5540111171843907,0.546272510585027,0.6565404597346765,0.7818950565171972,0.0427179060745795,0.0965526005604731,-0.07417629029153375,0.7462806952385227,0.24667455811656014,0.7303137238986791,0.4019804289680618,0.0,0.0,0.494337907183498,0.13169289786869276,-0.20027858097608411,0.0,0.5377479899207858,0.0
FL,0.8566132895334695,-0.1627198613503112,-0.3007574241977055,0.4409333515552667,0.6090270984702839,0.7784401094766044,0.6679191235209211,0.07869263411149716,-0.21727504951486976,-0.5336645130524956,0.4607154034339648,0.7772569296430418,0.7542178643559305,0.5282161493052726,0.6024417226583388,0.6263284834095929,0.43639575560742966,0.7646559217699028,0.6163163405983435,0.5475446031383184,0.8210593728407125,-0.20178085026118345,0.9271948662785018,0.5130935231782157,-0.351800176835816,0.8062704161081055,-0.5966515531394752,-0.19500819279602916,-0.1191669294473081,0.8010862438993683,-0.2916799789931962,0.11228778160572658,0.6901077226643922,0.015821693696628426,0.6099089404005277,-0.1165686654310193,-0.5706590687163771,-0.44626488013270105,0.0047921987460949715,0.704667607632331,0.7792795823392407,0.610665007528934,0.8355504930379092,0.3663665756627814,-0.09787441688933701,0.07703066155145612,0.7500945067589846,0.6993811635521029,0.8111311608671526,0.6708677345732816,0.827379496810924,0.0,0.44594504840805094,-0.151601226377562,-0.14819077950945048,0.032755609952319055,0.7183932780710447,0.43771864514216163
GA,0.7920130673405129,-0.3762141723582242,-0.08516330330628952,0.4383214287021785,0.5223432392477095,0.7208974205203929,0.7681567297860743,0.01635897593292565,0.06981718342389119,-0.6205727951276517,0.49374257149491546,0.7523085049391779,0.5195696413476594,0.4391559246803816,0.5538500583343406,0.6587017396394236,0.7312287750598895,0.7668251254444175,0.7442081383562289,0.5841670592741637,0.8000699734100205,-0.0023889607446875814,0.9029868239189858,0.4535406172075889,-0.35611375349231733,0.6771602575022647,-0.4365371870736802,0.0746915235046196,-0.1238248303181585,0.7519933161476768,0.06656953639335358,0.2638051908570078,0.6369593366894115,0.3766656605012337,0.5559607713583257,-0.07929559968729046,-0.2863874038995829,-0.3956837801995705,0.05556794955367309,0.6561922820364128,0.7383306131931116,0.6523688060154818,0.7806344085948195,0.3150191887896981,0.22275950366870903,0.2724045182921126,0.7465375822877902,0.7444350076022517,0.724359359743546,0.5876166881220309,0.6326690682327244,-0.2614942411559446,-0.21302014143103581,0.49375357358059796,-0.0008919852471484179,0.08530376633211686,0.7098541542606404,0.40476375662505154
HI,0.7932663426380433,-0.6508290337367031,-0.2263754518698909,0.39769225435320565,0.35381951622487257,0.7149925766680562,0.14670131299734376,-0.28733343061211636,0.10988320263682838,-0.18716445946197233,0.4686771186050109,0.6691303599424432,0.39822500227915875,0.4912289385765251,0.19279193817889345,0.5862062764574859,0.4618900400132889,0.6965226550086281,-0.23438485061063505,0.6113854416078726,0.814758989136157,0.38987049605594837,0.8286525511093339,0.593736429689446,-0.32114831420477746,0.3185268836877946,-0.5806778505750355,-0.2672939046365382,-0.07282334297280715,0.772578025954263,0.45659727265821126,0.4082163713982353,0.7113602257531793,0.2808236758223373,0.4696843109539485,0.06583881676416238,-0.3808124929109652,-0.657047517267815,0.15843198659931987,0.5967422738729539,0.7543187230123936,0.6301644260052477,0.8306639848292379,-0.12695499570443683,0.2733107222025063,0.7135189397198866,0.7482779388982125,0.07836736114699512,0.7790397269195095,0.6367427900754342,-0.1777203812322398,0.0,0.7213642990224025,-0.3236509699637308,-0.3474943416595234,0.13151964807306585,0.0,0.0
ID,0.5451109426227047,-0.6909635432454824,0.051291039576226535,0.17107060193688384,-0.03227183486644543,0.387778027464094,0.36898907319710617,0.3848315846064962,-0.15802648985269546,-0.08616696422622759,0.3132901146383051,0.5448676423844954,0.4704483873413541,0.2010393152046627,0.2824082220813132,0.27332274723868705,0.12587471518929905,0.501144752714993,0.0,0.597392197432467,0.5041153604650277,0.08060704094042358,0.5807989511299315,0.1862908040150766,-0.21675301936352176,0.19329942245317222,-0.05889389612460558,-0.3154094172511818,0.3424396202712327,0.46520796729270064,0.12701567652077805,0.019302893560723754,0.4676891453533462,0.259073697624199,0.5101750983534425,-0.07029029900595474,-0.1835410725199462,0.09023283966876755,-0.10663015604566799,0.6142185332144452,0.43251389860923267,0.4243957723097178,0.6283893298849886,-0.2567813489710402,0.22651612454542266,0.8617590172114372,0.603844987395488,0.5221590953660862,0.523669095734504,0.3608954419721331,0.0,0.23517060443242488,-0.09300909284442507,0.03475363221701761,-0.02133132826925302,-0.22343781536019539,0.0,-0.3726457450557609
